NS ColMember_1.
    ElemID              NF [N]              My [Nmm]            Mz [Nmm]            Vy [N]              Vz [N]              T [N/mm]            Y_LOC   
         59.      0.11299604E+06     -0.22997634E+06     -0.80621925E+06      0.49456741E+03      0.19360476E+04      0.18973486E+06      0.42200000E+03
         60.      0.11299604E+06     -0.21063461E+06     -0.81121338E+06      0.50452591E+03      0.19333356E+04      0.18973486E+06      0.42200000E+03
         61.      0.11299604E+06     -0.19131884E+06     -0.81630744E+06      0.51454614E+03      0.19308600E+04      0.18973486E+06      0.42200000E+03
         62.      0.11299603E+06     -0.17202667E+06     -0.82150219E+06      0.52462933E+03      0.19286206E+04      0.18973486E+06      0.42200000E+03
         63.      0.11299602E+06     -0.15275577E+06     -0.82679812E+06      0.53477667E+03      0.19266171E+04      0.18973486E+06      0.42200000E+03
         64.      0.11299600E+06     -0.13350373E+06     -0.83219606E+06      0.54498950E+03      0.19248494E+04      0.18973486E+06      0.42200000E+03
         65.      0.11299598E+06     -0.11426824E+06     -0.83769656E+06      0.55526904E+03      0.19233170E+04      0.18973486E+06      0.42200000E+03
         66.      0.11299595E+06     -0.95046930E+05     -0.84330031E+06      0.56561658E+03      0.19220199E+04      0.18973486E+06      0.42200000E+03
         67.      0.11299591E+06     -0.75837445E+05     -0.84900800E+06      0.57603333E+03      0.19209580E+04      0.18973486E+06      0.42200000E+03
         68.      0.11299587E+06     -0.56637449E+05     -0.85482031E+06      0.58652057E+03      0.19201310E+04      0.18973486E+06      0.42200000E+03
         69.      0.11299582E+06     -0.37444578E+05     -0.86073800E+06      0.59707965E+03      0.19195389E+04      0.18973486E+06      0.42200000E+03
         70.      0.11299577E+06     -0.18256492E+05     -0.86676175E+06      0.60771191E+03      0.19191816E+04      0.18973486E+06      0.42200000E+03
         71.      0.11299572E+06      0.92915643E+03     -0.87289231E+06      0.61841858E+03      0.19190591E+04      0.18973486E+06      0.42200000E+03
         72.      0.11299566E+06      0.20114715E+05     -0.87913044E+06      0.62920093E+03      0.19191711E+04      0.18973486E+06      0.42200000E+03
         73.      0.11299559E+06      0.39302531E+05     -0.88547688E+06      0.64006042E+03      0.19195181E+04      0.18973486E+06      0.42200000E+03
         74.      0.11299552E+06      0.58494949E+05     -0.89193244E+06      0.65099835E+03      0.19200999E+04      0.18973486E+06      0.42200000E+03
         75.      0.11299544E+06      0.77694320E+05     -0.89849788E+06      0.66201599E+03      0.19209164E+04      0.18973486E+06      0.42200000E+03
         76.      0.11299535E+06      0.96902984E+05     -0.90517400E+06      0.67311481E+03      0.19219678E+04      0.18973488E+06      0.42200000E+03
         77.      0.11299526E+06      0.11612330E+06     -0.91196169E+06      0.68429602E+03      0.19232544E+04      0.18973488E+06      0.42200000E+03
         78.      0.11299516E+06      0.13535761E+06     -0.91886169E+06      0.69556116E+03      0.19247761E+04      0.18973488E+06      0.42200000E+03
         79.      0.11299506E+06      0.15460828E+06     -0.92587488E+06      0.70691156E+03      0.19265333E+04      0.18973488E+06      0.42200000E+03
         80.      0.11299495E+06      0.17387766E+06     -0.93300212E+06      0.71834857E+03      0.19285262E+04      0.18973488E+06      0.42200000E+03
         81.      0.11299484E+06      0.19316809E+06     -0.94024438E+06      0.72987366E+03      0.19307549E+04      0.18973488E+06      0.42200000E+03
         82.      0.11299473E+06      0.21248195E+06     -0.94760238E+06      0.74148822E+03      0.19332197E+04      0.18973488E+06      0.42200000E+03
NS ColMember_10.
    ElemID              NF [N]              My [Nmm]            Mz [Nmm]            Vy [N]              Vz [N]              T [N/mm]            Y_LOC   
         83.      0.10806538E+06      0.23462584E+06     -0.98955812E+06     -0.42761553E+04     -0.97685486E+03      0.19788142E+06      0.71200000E+03
         84.      0.10806574E+06      0.22730278E+06     -0.95752025E+06     -0.42676206E+04     -0.97473553E+03      0.19788142E+06      0.71200000E+03
NS ColMember_11.
    ElemID              NF [N]              My [Nmm]            Mz [Nmm]            Vy [N]              Vz [N]              T [N/mm]            Y_LOC   
         85.      0.10811424E+06      0.19907834E+06     -0.94935781E+06     -0.16536230E+04      0.17757852E+03      0.21349228E+06      0.72700000E+03
         86.      0.10811441E+06      0.20085959E+06     -0.93287831E+06     -0.16425861E+04      0.17997231E+03      0.21349228E+06      0.72700000E+03
         87.      0.10811457E+06      0.20266498E+06     -0.91650825E+06     -0.16317413E+04      0.18238678E+03      0.21349228E+06      0.72700000E+03
         88.      0.10811473E+06      0.20449475E+06     -0.90024569E+06     -0.16210879E+04      0.18482225E+03      0.21349228E+06      0.72700000E+03
         89.      0.10811488E+06      0.20634908E+06     -0.88408869E+06     -0.16106244E+04      0.18727899E+03      0.21349227E+06      0.72700000E+03
         90.      0.10811503E+06      0.20822820E+06     -0.86803544E+06     -0.16003495E+04      0.18975729E+03      0.21349227E+06      0.72700000E+03
         91.      0.10811518E+06      0.21013233E+06     -0.85208400E+06     -0.15902622E+04      0.19225748E+03      0.21349227E+06      0.72700000E+03
         92.      0.10811532E+06      0.21206167E+06     -0.83623250E+06     -0.15803611E+04      0.19477983E+03      0.21349227E+06      0.72700000E+03
         93.      0.10811545E+06      0.21401647E+06     -0.82047906E+06     -0.15706451E+04      0.19732465E+03      0.21349227E+06      0.72700000E+03
         94.      0.10811559E+06      0.21599692E+06     -0.80482194E+06     -0.15611133E+04      0.19989224E+03      0.21349227E+06      0.72700000E+03
         95.      0.10811572E+06      0.21800328E+06     -0.78925919E+06     -0.15517643E+04      0.20248293E+03      0.21349227E+06      0.72700000E+03
         96.      0.10811585E+06      0.22003578E+06     -0.77378906E+06     -0.15425970E+04      0.20509702E+03      0.21349227E+06      0.72700000E+03
         97.      0.10811598E+06      0.22209464E+06     -0.75840969E+06     -0.15336106E+04      0.20773480E+03      0.21349227E+06      0.72700000E+03
         98.      0.10811609E+06      0.22418011E+06     -0.74311931E+06     -0.15248038E+04      0.21039661E+03      0.21349227E+06      0.72700000E+03
         99.      0.10811621E+06      0.22629241E+06     -0.72791612E+06     -0.15161755E+04      0.21308276E+03      0.21349227E+06      0.72700000E+03
        100.      0.10811633E+06      0.22843181E+06     -0.71279838E+06     -0.15077250E+04      0.21579358E+03      0.21349227E+06      0.72700000E+03
        101.      0.10811644E+06      0.23059855E+06     -0.69776425E+06     -0.14994510E+04      0.21852939E+03      0.21349227E+06      0.72700000E+03
NS ColMember_12.
    ElemID              NF [N]              My [Nmm]            Mz [Nmm]            Vy [N]              Vz [N]              T [N/mm]            Y_LOC   
        102.      0.10800583E+06      0.23500420E+06     -0.71692631E+06     -0.15719849E+04     -0.27756396E+04      0.21589392E+06      0.89700000E+03
        103.      0.10800597E+06      0.21419084E+06     -0.70516081E+06     -0.15658036E+04     -0.27736311E+04      0.21589392E+06      0.89700000E+03
NS ColMember_13.
    ElemID              NF [N]              My [Nmm]            Mz [Nmm]            Vy [N]              Vz [N]              T [N/mm]            Y_LOC   
        104.      0.10653178E+06      0.18789069E+06     -0.68598944E+06     -0.45044460E+02     -0.18782576E+04      0.20848345E+06      0.91200000E+03
        105.      0.10653182E+06      0.16911397E+06     -0.68557950E+06     -0.37178501E+02     -0.18761946E+04      0.20848345E+06      0.91200000E+03
        106.      0.10653186E+06      0.15035680E+06     -0.68524806E+06     -0.29316763E+02     -0.18743485E+04      0.20848345E+06      0.91200000E+03
        107.      0.10653189E+06      0.13161700E+06     -0.68499512E+06     -0.21458345E+02     -0.18727192E+04      0.20848345E+06      0.91200000E+03
        108.      0.10653191E+06      0.11289242E+06     -0.68482056E+06     -0.13602349E+02     -0.18713065E+04      0.20848345E+06      0.91200000E+03
        109.      0.10653194E+06      0.94180883E+05     -0.68472450E+06     -0.57478752E+01     -0.18701104E+04      0.20848345E+06      0.91200000E+03
        110.      0.10653195E+06      0.75480234E+05     -0.68470681E+06      0.21059752E+01     -0.18691304E+04      0.20848345E+06      0.91200000E+03
        111.      0.10653197E+06      0.56788297E+05     -0.68476756E+06      0.99601021E+01     -0.18683667E+04      0.20848345E+06      0.91200000E+03
        112.      0.10653198E+06      0.38102914E+05     -0.68490675E+06      0.17815403E+02     -0.18678191E+04      0.20848345E+06      0.91200000E+03
        113.      0.10653198E+06      0.19421930E+05     -0.68512431E+06      0.25672779E+02     -0.18674874E+04      0.20848345E+06      0.91200000E+03
        114.      0.10653198E+06      0.74317749E+03     -0.68542038E+06      0.33533131E+02     -0.18673718E+04      0.20848345E+06      0.91200000E+03
        115.      0.10653198E+06     -0.17935500E+05     -0.68579494E+06      0.41397354E+02     -0.18674722E+04      0.20848345E+06      0.91200000E+03
        116.      0.10653197E+06     -0.36616266E+05     -0.68624800E+06      0.49266350E+02     -0.18677886E+04      0.20848345E+06      0.91200000E+03
        117.      0.10653195E+06     -0.55301277E+05     -0.68677969E+06      0.57141022E+02     -0.18683210E+04      0.20848345E+06      0.91200000E+03
        118.      0.10653194E+06     -0.73992695E+05     -0.68739006E+06      0.65022270E+02     -0.18690695E+04      0.20848345E+06      0.91200000E+03
        119.      0.10653191E+06     -0.92692688E+05     -0.68807912E+06      0.72910995E+02     -0.18700342E+04      0.20848345E+06      0.91200000E+03
        120.      0.10653188E+06     -0.11140341E+06     -0.68884694E+06      0.80808098E+02     -0.18712152E+04      0.20848345E+06      0.91200000E+03
        121.      0.10653185E+06     -0.13012704E+06     -0.68969369E+06      0.88714493E+02     -0.18726125E+04      0.20848345E+06      0.91200000E+03
        122.      0.10653182E+06     -0.14886572E+06     -0.69061944E+06      0.96631073E+02     -0.18742266E+04      0.20848345E+06      0.91200000E+03
        123.      0.10653178E+06     -0.16762164E+06     -0.69162425E+06      0.10455875E+03     -0.18760574E+04      0.20848345E+06      0.91200000E+03
        124.      0.10653173E+06     -0.18639695E+06     -0.69270831E+06      0.11249844E+03     -0.18781051E+04      0.20848345E+06      0.91200000E+03
        125.      0.10653169E+06     -0.20519384E+06     -0.69387169E+06      0.12045103E+03     -0.18803701E+04      0.20848345E+06      0.91200000E+03
        126.      0.10653163E+06     -0.22401447E+06     -0.69511450E+06      0.12841745E+03     -0.18828527E+04      0.20848345E+06      0.91200000E+03
        127.      0.10653157E+06     -0.24286103E+06     -0.69643694E+06      0.13639861E+03     -0.18855529E+04      0.20848345E+06      0.91200000E+03
        128.      0.10653151E+06     -0.26173569E+06     -0.69783912E+06      0.14439542E+03     -0.18884712E+04      0.20848345E+06      0.91200000E+03
        129.      0.10653145E+06     -0.28064062E+06     -0.69932125E+06      0.15240878E+03     -0.18916080E+04      0.20848345E+06      0.91200000E+03
        130.      0.10653138E+06     -0.29957803E+06     -0.70088350E+06      0.16043964E+03     -0.18949635E+04      0.20848345E+06      0.91200000E+03
        131.      0.10653130E+06     -0.31855012E+06     -0.70252600E+06      0.16848889E+03     -0.18985383E+04      0.20848345E+06      0.91200000E+03
        132.      0.10653121E+06     -0.33755906E+06     -0.70424894E+06      0.17655746E+03     -0.19023326E+04      0.20848345E+06      0.91200000E+03
NS ColMember_14.
    ElemID              NF [N]              My [Nmm]            Mz [Nmm]            Vy [N]              Vz [N]              T [N/mm]            Y_LOC   
        133.      0.11174131E+06     -0.38125988E+06     -0.72360400E+06      0.18649855E+03      0.41823223E+04      0.21406230E+06      0.12020000E+04
        134.      0.11174142E+06     -0.34990888E+06     -0.72502594E+06      0.19317433E+03      0.41789966E+04      0.21406230E+06      0.12020000E+04
NS ColMember_15.
    ElemID              NF [N]              My [Nmm]            Mz [Nmm]            Vy [N]              Vz [N]              T [N/mm]            Y_LOC   
        135.      0.11172348E+06     -0.30557444E+06      0.75464462E+06      0.57086505E+03     -0.16080999E+04      0.21309372E+06      0.12170000E+04
        136.      0.11172348E+06     -0.31764188E+06      0.75039050E+06      0.56399268E+03     -0.16109435E+04      0.21309372E+06      0.12170000E+04
NS ColMember_16.
    ElemID              NF [N]              My [Nmm]            Mz [Nmm]            Vy [N]              Vz [N]              T [N/mm]            Y_LOC   
        137.      0.11148782E+06     -0.29813525E+06     -0.74606456E+06      0.57903577E+03      0.18471600E+04      0.21045348E+06      0.12320000E+04
