NS ColMember_1.
    ElemID              NF [N]              My [Nmm]            Mz [Nmm]            Vy [N]              Vz [N]              T [N/mm]            Y_LOC   
         80.      0.11468876E+06      0.16106691E+06     -0.84772256E+06      0.34330090E+03      0.18556853E+04      0.18980683E+06      0.42200000E+03
         81.      0.11468876E+06      0.17962377E+06     -0.85115556E+06      0.34330090E+03      0.18556853E+04      0.18980683E+06      0.42200000E+03
         82.      0.11468876E+06      0.19818061E+06     -0.85458856E+06      0.34330090E+03      0.18556853E+04      0.18980683E+06      0.42200000E+03
NS ColMember_10.
    ElemID              NF [N]              My [Nmm]            Mz [Nmm]            Vy [N]              Vz [N]              T [N/mm]            Y_LOC   
         83.      0.11070020E+06      0.21735356E+06     -0.88996569E+06     -0.37184075E+04     -0.51380048E+03      0.19909783E+06      0.71200000E+03
         84.      0.11070020E+06      0.21350006E+06     -0.86207762E+06     -0.37184075E+04     -0.51380048E+03      0.19909783E+06      0.71200000E+03
NS ColMember_11.
    ElemID              NF [N]              My [Nmm]            Mz [Nmm]            Vy [N]              Vz [N]              T [N/mm]            Y_LOC   
         85.      0.11077477E+06      0.18561778E+06     -0.85536925E+06     -0.12439886E+04      0.36560760E+03      0.21297975E+06      0.72700000E+03
         86.      0.11077477E+06      0.18927386E+06     -0.84292938E+06     -0.12439886E+04      0.36560760E+03      0.21297975E+06      0.72700000E+03
         87.      0.11077477E+06      0.19292992E+06     -0.83048950E+06     -0.12439886E+04      0.36560760E+03      0.21297975E+06      0.72700000E+03
         88.      0.11077477E+06      0.19658600E+06     -0.81804962E+06     -0.12439886E+04      0.36560760E+03      0.21297975E+06      0.72700000E+03
         89.      0.11077477E+06      0.20024208E+06     -0.80560969E+06     -0.12439886E+04      0.36560760E+03      0.21297975E+06      0.72700000E+03
         90.      0.11077477E+06      0.20389816E+06     -0.79316981E+06     -0.12439886E+04      0.36560760E+03      0.21297975E+06      0.72700000E+03
         91.      0.11077477E+06      0.20755423E+06     -0.78072994E+06     -0.12439886E+04      0.36560760E+03      0.21297975E+06      0.72700000E+03
         92.      0.11077477E+06      0.21121031E+06     -0.76829006E+06     -0.12439886E+04      0.36560760E+03      0.21297975E+06      0.72700000E+03
         93.      0.11077477E+06      0.21486639E+06     -0.75585019E+06     -0.12439886E+04      0.36560760E+03      0.21297975E+06      0.72700000E+03
         94.      0.11077477E+06      0.21852245E+06     -0.74341025E+06     -0.12439886E+04      0.36560760E+03      0.21297975E+06      0.72700000E+03
         95.      0.11077477E+06      0.22217853E+06     -0.73097038E+06     -0.12439886E+04      0.36560760E+03      0.21297975E+06      0.72700000E+03
         96.      0.11077477E+06      0.22583461E+06     -0.71853050E+06     -0.12439886E+04      0.36560760E+03      0.21297975E+06      0.72700000E+03
         97.      0.11077477E+06      0.22949069E+06     -0.70609062E+06     -0.12439886E+04      0.36560760E+03      0.21297975E+06      0.72700000E+03
         98.      0.11077477E+06      0.23314677E+06     -0.69365075E+06     -0.12439886E+04      0.36560760E+03      0.21297975E+06      0.72700000E+03
         99.      0.11077477E+06      0.23680284E+06     -0.68121088E+06     -0.12439886E+04      0.36560760E+03      0.21297975E+06      0.72700000E+03
        100.      0.11077477E+06      0.24045892E+06     -0.66877094E+06     -0.12439886E+04      0.36560760E+03      0.21297975E+06      0.72700000E+03
        101.      0.11077477E+06      0.24411500E+06     -0.65633106E+06     -0.12439886E+04      0.36560760E+03      0.21297975E+06      0.72700000E+03
NS ColMember_12.
    ElemID              NF [N]              My [Nmm]            Mz [Nmm]            Vy [N]              Vz [N]              T [N/mm]            Y_LOC   
        102.      0.11069965E+06      0.24637216E+06     -0.67331056E+06     -0.11360605E+04     -0.26734629E+04      0.21377972E+06      0.89700000E+03
        103.      0.11069965E+06      0.22632119E+06     -0.66479006E+06     -0.11360605E+04     -0.26734629E+04      0.21377972E+06      0.89700000E+03
NS ColMember_13.
    ElemID              NF [N]              My [Nmm]            Mz [Nmm]            Vy [N]              Vz [N]              T [N/mm]            Y_LOC   
        104.      0.10944417E+06      0.20098666E+06     -0.64867256E+06      0.15843130E+03     -0.19108738E+04      0.20686178E+06      0.91200000E+03
        105.      0.10944417E+06      0.18187792E+06     -0.65025688E+06      0.15843130E+03     -0.19108738E+04      0.20686178E+06      0.91200000E+03
        106.      0.10944417E+06      0.16276919E+06     -0.65184119E+06      0.15843130E+03     -0.19108738E+04      0.20686178E+06      0.91200000E+03
        107.      0.10944417E+06      0.14366045E+06     -0.65342550E+06      0.15843130E+03     -0.19108738E+04      0.20686178E+06      0.91200000E+03
        108.      0.10944417E+06      0.12455171E+06     -0.65500981E+06      0.15843130E+03     -0.19108738E+04      0.20686178E+06      0.91200000E+03
        109.      0.10944417E+06      0.10544297E+06     -0.65659412E+06      0.15843130E+03     -0.19108738E+04      0.20686178E+06      0.91200000E+03
        110.      0.10944417E+06      0.86334234E+05     -0.65817844E+06      0.15843130E+03     -0.19108738E+04      0.20686178E+06      0.91200000E+03
        111.      0.10944417E+06      0.67225500E+05     -0.65976275E+06      0.15843130E+03     -0.19108738E+04      0.20686178E+06      0.91200000E+03
        112.      0.10944417E+06      0.48116758E+05     -0.66134706E+06      0.15843130E+03     -0.19108738E+04      0.20686178E+06      0.91200000E+03
        113.      0.10944417E+06      0.29008021E+05     -0.66293138E+06      0.15843130E+03     -0.19108738E+04      0.20686178E+06      0.91200000E+03
        114.      0.10944417E+06      0.98992832E+04     -0.66451569E+06      0.15843130E+03     -0.19108738E+04      0.20686178E+06      0.91200000E+03
        115.      0.10944417E+06     -0.92094541E+04     -0.66610000E+06      0.15843130E+03     -0.19108738E+04      0.20686178E+06      0.91200000E+03
        116.      0.10944417E+06     -0.28318191E+05     -0.66768431E+06      0.15843130E+03     -0.19108738E+04      0.20686178E+06      0.91200000E+03
        117.      0.10944417E+06     -0.47426930E+05     -0.66926862E+06      0.15843130E+03     -0.19108738E+04      0.20686178E+06      0.91200000E+03
