NS ColMember_1.
    ElemID              NF [N]              My [Nmm]            Mz [Nmm]            Vy [N]              Vz [N]              T [N/mm]
        125.      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30
        126.      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30
        127.      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30
        128.      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30
        129.      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30
        130.      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30
        131.      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30
        132.      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30
        133.      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30
        134.      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30
        135.      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30
        136.      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30
        137.      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30
        138.      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30
        139.      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30
        140.      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30
        141.      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30
        142.      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30
        143.      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30
        144.      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30
        145.      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30
        146.      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30
        147.      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30
        148.      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30
        149.      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30
        150.      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30
        151.      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30
        152.      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30
        153.      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30
        154.      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30
