NS ColMember_1.
    ElemID              NF [N]              My [Nmm]            Mz [Nmm]            Vy [N]              Vz [N]              T [N/mm]
NS ColMember_2.
    ElemID              NF [N]              My [Nmm]            Mz [Nmm]            Vy [N]              Vz [N]              T [N/mm]
        101.     -0.92649512E+04     -0.15235617E-12     -0.26198375E+05      0.39666035E-12     -0.77694002E-15     -0.78195405E+04
        102.     -0.92649004E+04     -0.15290637E-12     -0.25099285E+05      0.39671969E-12     -0.36453373E-15     -0.78611699E+04
        103.     -0.92648535E+04     -0.15345478E-12     -0.24000023E+05      0.39677655E-12      0.39805804E-16     -0.79004121E+04
        104.     -0.92648096E+04     -0.15400140E-12     -0.22900600E+05      0.39683098E-12      0.43606990E-15     -0.79372666E+04
        105.     -0.92647695E+04     -0.15454626E-12     -0.21801020E+05      0.39688299E-12      0.82425009E-15     -0.79717324E+04
        106.     -0.92647314E+04     -0.15508939E-12     -0.20701291E+05      0.39693262E-12      0.12043381E-14     -0.80038091E+04
        107.     -0.92646982E+04     -0.15563080E-12     -0.19601422E+05      0.39697989E-12      0.15763260E-14     -0.80334966E+04
        108.     -0.92646680E+04     -0.15617051E-12     -0.18501420E+05      0.39702467E-12      0.19402056E-14     -0.80607935E+04
        109.     -0.92646406E+04     -0.15670858E-12     -0.17401291E+05      0.39706701E-12      0.22959698E-14     -0.80857007E+04
        110.     -0.92646172E+04     -0.15724499E-12     -0.16301045E+05      0.39710699E-12      0.26436108E-14     -0.81082168E+04
        111.     -0.92645967E+04     -0.15777977E-12     -0.15200688E+05      0.39714448E-12      0.29831215E-14     -0.81283418E+04
        112.     -0.92645801E+04     -0.15831295E-12     -0.14100227E+05      0.39717960E-12      0.33144948E-14     -0.81460752E+04
        113.     -0.92645674E+04     -0.15884456E-12     -0.12999669E+05      0.39721224E-12      0.36377240E-14     -0.81614165E+04
        114.     -0.92645576E+04     -0.15937463E-12     -0.11899023E+05      0.39724249E-12      0.39528025E-14     -0.81743657E+04
        115.     -0.92645518E+04     -0.15990315E-12     -0.10798298E+05      0.39727035E-12      0.42597236E-14     -0.81849229E+04
        116.     -0.92645488E+04     -0.16043018E-12     -0.96974980E+04      0.39729569E-12      0.45584814E-14     -0.81930869E+04
        117.     -0.92645498E+04     -0.16095571E-12     -0.85966318E+04      0.39731868E-12      0.48490701E-14     -0.81988584E+04
        118.     -0.92645537E+04     -0.16147980E-12     -0.74957075E+04      0.39733917E-12      0.51314840E-14     -0.82022373E+04
        119.     -0.92645615E+04     -0.16200244E-12     -0.63947324E+04      0.39735739E-12      0.54057168E-14     -0.82032227E+04
        120.     -0.92645732E+04     -0.16252365E-12     -0.52937134E+04      0.39737308E-12      0.56717640E-14     -0.82018145E+04
        121.     -0.92645879E+04     -0.16304349E-12     -0.41926587E+04      0.39738625E-12      0.59296198E-14     -0.81980137E+04
        122.     -0.92646064E+04     -0.16356195E-12     -0.30915754E+04      0.39739704E-12      0.61792798E-14     -0.81918188E+04
        123.     -0.92646279E+04     -0.16407908E-12     -0.19904712E+04      0.39740542E-12      0.64207393E-14     -0.81832310E+04
        124.     -0.92646533E+04     -0.16459487E-12     -0.88935333E+03      0.39741130E-12      0.66539931E-14     -0.81722500E+04
        125.     -0.92646816E+04     -0.16510938E-12      0.21177058E+03      0.39741482E-12      0.68790379E-14     -0.81588750E+04
        126.     -0.92647139E+04     -0.16562260E-12      0.13128931E+04      0.39741588E-12      0.70958686E-14     -0.81431074E+04
        127.     -0.92647500E+04     -0.16613458E-12      0.24140066E+04      0.39741444E-12      0.73044818E-14     -0.81249463E+04
        128.     -0.92647881E+04     -0.16664532E-12      0.35151035E+04      0.39741062E-12      0.75048737E-14     -0.81043921E+04
        129.     -0.92648301E+04     -0.16715485E-12      0.46161768E+04      0.39740441E-12      0.76970418E-14     -0.80814453E+04
        130.     -0.92648750E+04     -0.16766321E-12      0.57172188E+04      0.39739571E-12      0.78809809E-14     -0.80561055E+04
        131.     -0.92649238E+04     -0.16817041E-12      0.68182212E+04      0.39738457E-12      0.80566894E-14     -0.80283735E+04
        132.     -0.92649756E+04     -0.16867646E-12      0.79191777E+04      0.39737086E-12      0.82241639E-14     -0.79982490E+04
        133.     -0.92650303E+04     -0.16918140E-12      0.90200801E+04      0.39735484E-12      0.83834027E-14     -0.79657329E+04
        134.     -0.92650879E+04     -0.16968526E-12      0.10120922E+05      0.39733638E-12      0.85344024E-14     -0.79308252E+04
        135.     -0.92651494E+04     -0.17018806E-12      0.11221693E+05      0.39731545E-12      0.86771605E-14     -0.78935264E+04
        136.     -0.92652129E+04     -0.17068980E-12      0.12322390E+05      0.39729206E-12      0.88116753E-14     -0.78538364E+04
        137.     -0.92652793E+04     -0.17119052E-12      0.13423002E+05      0.39726618E-12      0.89379459E-14     -0.78117559E+04
        138.     -0.92653486E+04     -0.17169024E-12      0.14523522E+05      0.39723785E-12      0.90559697E-14     -0.77672856E+04
        139.     -0.92654219E+04     -0.17218900E-12      0.15623944E+05      0.39720722E-12      0.91657461E-14     -0.77204253E+04
        140.     -0.92654961E+04     -0.17268680E-12      0.16724260E+05      0.39717397E-12      0.92672731E-14     -0.76711763E+04
        141.     -0.92655742E+04     -0.17318368E-12      0.17824461E+05      0.39713830E-12      0.93605501E-14     -0.76195386E+04
        142.     -0.92656543E+04     -0.17367965E-12      0.18924543E+05      0.39710019E-12      0.94455769E-14     -0.75655132E+04
        143.     -0.92657373E+04     -0.17417475E-12      0.20024494E+05      0.39705964E-12      0.95223520E-14     -0.75091001E+04
        144.     -0.92658232E+04     -0.17466898E-12      0.21124311E+05      0.39701668E-12      0.95908761E-14     -0.74503003E+04
        145.     -0.92659102E+04     -0.17516239E-12      0.22223980E+05      0.39697117E-12      0.96511476E-14     -0.73891143E+04
        146.     -0.92660000E+04     -0.17565497E-12      0.23323502E+05      0.39692327E-12      0.97031681E-14     -0.73255425E+04
        147.     -0.92660928E+04     -0.17614678E-12      0.24422863E+05      0.39687283E-12      0.97469377E-14     -0.72595864E+04
        148.     -0.92661865E+04     -0.17663781E-12      0.25522059E+05      0.39682000E-12      0.97824564E-14     -0.71912456E+04
        149.     -0.92662822E+04     -0.17712811E-12      0.26621082E+05      0.39676473E-12      0.98097240E-14     -0.71205220E+04
        150.     -0.92663809E+04     -0.17761770E-12      0.27719922E+05      0.39670700E-12      0.98287433E-14     -0.70474160E+04
        151.     -0.92664805E+04     -0.17810659E-12      0.28818574E+05      0.39664677E-12      0.98395150E-14     -0.69719282E+04
        152.     -0.92665820E+04     -0.17859481E-12      0.29917031E+05      0.39658402E-12      0.98420392E-14     -0.68940596E+04
        153.     -0.92666855E+04     -0.17908238E-12      0.31015283E+05      0.39651889E-12      0.98363192E-14     -0.68138110E+04
        154.     -0.92667900E+04     -0.17956933E-12      0.32113324E+05      0.39645132E-12      0.98223550E-14     -0.67311831E+04
        155.     -0.92668965E+04     -0.18005568E-12      0.33211148E+05      0.39638131E-12      0.98001500E-14     -0.66461777E+04
        156.     -0.92670039E+04     -0.18054145E-12      0.34308746E+05      0.39630864E-12      0.97697060E-14     -0.65587949E+04
        157.     -0.92671123E+04     -0.18102666E-12      0.35406109E+05      0.39623369E-12      0.97310245E-14     -0.64690356E+04
        158.     -0.92672227E+04     -0.18151135E-12      0.36503230E+05      0.39615620E-12      0.96841099E-14     -0.63769019E+04
        159.     -0.92673330E+04     -0.18199553E-12      0.37600105E+05      0.39607635E-12      0.96289630E-14     -0.62823936E+04
        160.     -0.92674443E+04     -0.18247924E-12      0.38696723E+05      0.39599392E-12      0.95655880E-14     -0.61855127E+04
        161.     -0.92675566E+04     -0.18296246E-12      0.39793078E+05      0.39590905E-12      0.94939883E-14     -0.60862603E+04
        162.     -0.92676689E+04     -0.18344527E-12      0.40889164E+05      0.39582169E-12      0.94141664E-14     -0.59846367E+04
        163.     -0.92677822E+04     -0.18392766E-12      0.41984969E+05      0.39573198E-12      0.93261275E-14     -0.58806440E+04
        164.     -0.92678955E+04     -0.18440966E-12      0.43080492E+05      0.39563966E-12      0.92298732E-14     -0.57742832E+04
        165.     -0.92680098E+04     -0.18489129E-12      0.44175719E+05      0.39554495E-12      0.91254104E-14     -0.56655552E+04
        166.     -0.92681230E+04     -0.18537256E-12      0.45270645E+05      0.39544781E-12      0.90127406E-14     -0.55544614E+04
        167.     -0.92682363E+04     -0.18585354E-12      0.46365262E+05      0.39534801E-12      0.88918698E-14     -0.54410034E+04
        168.     -0.92683496E+04     -0.18633421E-12      0.47459566E+05      0.39524596E-12      0.87628023E-14     -0.53251821E+04
        169.     -0.92684629E+04     -0.18681461E-12      0.48553547E+05      0.39514130E-12      0.86255432E-14     -0.52069990E+04
        170.     -0.92685752E+04     -0.18729476E-12      0.49647195E+05      0.39503424E-12      0.84800975E-14     -0.50864556E+04
        171.     -0.92686875E+04     -0.18777468E-12      0.50740508E+05      0.39492471E-12      0.83264711E-14     -0.49635537E+04
        172.     -0.92687979E+04     -0.18825440E-12      0.51833477E+05      0.39481271E-12      0.81646683E-14     -0.48382939E+04
        173.     -0.92689082E+04     -0.18873394E-12      0.52926090E+05      0.39469819E-12      0.79946959E-14     -0.47106782E+04
        174.     -0.92690166E+04     -0.18921332E-12      0.54018344E+05      0.39458126E-12      0.78165590E-14     -0.45807080E+04
        175.     -0.92691240E+04     -0.18969257E-12      0.55110230E+05      0.39446181E-12      0.76302642E-14     -0.44483853E+04
        176.     -0.92692295E+04     -0.19017172E-12      0.56201742E+05      0.39433989E-12      0.74358185E-14     -0.43137109E+04
        177.     -0.92693340E+04     -0.19065077E-12      0.57292871E+05      0.39421556E-12      0.72332277E-14     -0.41766865E+04
        178.     -0.92694365E+04     -0.19112976E-12      0.58383609E+05      0.39408868E-12      0.70224982E-14     -0.40373145E+04
        179.     -0.92695371E+04     -0.19160872E-12      0.59473953E+05      0.39395933E-12      0.68036380E-14     -0.38955957E+04
        180.     -0.92696348E+04     -0.19208765E-12      0.60563891E+05      0.39382755E-12      0.65766535E-14     -0.37515320E+04
        181.     -0.92697314E+04     -0.19256660E-12      0.61653414E+05      0.39369322E-12      0.63415523E-14     -0.36051255E+04
        182.     -0.92698242E+04     -0.19304557E-12      0.62742520E+05      0.39355650E-12      0.60983425E-14     -0.34563777E+04
        183.     -0.92699150E+04     -0.19352460E-12      0.63831199E+05      0.39341723E-12      0.58470316E-14     -0.33052903E+04
        184.     -0.92700029E+04     -0.19400371E-12      0.64919445E+05      0.39327555E-12      0.55876273E-14     -0.31518652E+04
        185.     -0.92700879E+04     -0.19448291E-12      0.66007250E+05      0.39313141E-12      0.53201381E-14     -0.29961042E+04
        186.     -0.92701689E+04     -0.19496224E-12      0.67094602E+05      0.39298474E-12      0.50445729E-14     -0.28380090E+04
        187.     -0.92702471E+04     -0.19544171E-12      0.68181500E+05      0.39283561E-12      0.47609397E-14     -0.26775820E+04
        188.     -0.92703213E+04     -0.19592136E-12      0.69267930E+05      0.39268407E-12      0.44692474E-14     -0.25148247E+04
        189.     -0.92703926E+04     -0.19640120E-12      0.70353891E+05      0.39252995E-12      0.41695053E-14     -0.23497390E+04
        190.     -0.92704590E+04     -0.19688126E-12      0.71439375E+05      0.39237342E-12      0.38617223E-14     -0.21823271E+04
