NS ColMember_1.
    ElemID              NF [N]              My [Nmm]            Mz [Nmm]            Vy [N]              Vz [N]              T [N/mm]
         76.     -0.49750116E+03     -0.42657757E-14     -0.17324004E+04     -0.43259963E-14      0.15224127E-16      0.56531510E+01
         77.     -0.49750116E+03     -0.42066883E-14     -0.17889310E+04     -0.43253386E-14      0.15224937E-16      0.56530695E+01
         78.     -0.49750119E+03     -0.41475883E-14     -0.18454608E+04     -0.43246601E-14      0.15225760E-16      0.56529851E+01
         79.     -0.49750119E+03     -0.40884747E-14     -0.19019897E+04     -0.43239609E-14      0.15226593E-16      0.56528978E+01
         80.     -0.49750122E+03     -0.40293476E-14     -0.19585178E+04     -0.43232405E-14      0.15227439E-16      0.56528082E+01
         81.     -0.49750122E+03     -0.39702031E-14     -0.20150452E+04     -0.43225015E-14      0.15228374E-16      0.56527162E+01
         82.     -0.49750125E+03     -0.39110603E-14     -0.20715715E+04     -0.43217285E-14      0.15228961E-16      0.56526213E+01
         83.     -0.49750125E+03     -0.38518908E-14     -0.21280969E+04     -0.43209450E-14      0.15229864E-16      0.56525235E+01
         84.     -0.49750128E+03     -0.37927069E-14     -0.21846213E+04     -0.43201404E-14      0.15230781E-16      0.56524234E+01
         85.     -0.49750128E+03     -0.37335078E-14     -0.22411448E+04     -0.43193145E-14      0.15231709E-16      0.56523209E+01
         86.     -0.49750128E+03     -0.36742934E-14     -0.22976675E+04     -0.43184679E-14      0.15232650E-16      0.56522150E+01
         87.     -0.49750128E+03     -0.36150638E-14     -0.23541890E+04     -0.43176001E-14      0.15233605E-16      0.56521072E+01
         88.     -0.49750128E+03     -0.35558185E-14     -0.24107092E+04     -0.43167116E-14      0.15234572E-16      0.56519966E+01
         89.     -0.49750131E+03     -0.34965573E-14     -0.24672288E+04     -0.43158018E-14      0.15235553E-16      0.56518831E+01
         90.     -0.49750131E+03     -0.34372798E-14     -0.25237468E+04     -0.43148714E-14      0.15236548E-16      0.56517673E+01
         91.     -0.49750131E+03     -0.33779858E-14     -0.25802639E+04     -0.43139197E-14      0.15237555E-16      0.56516485E+01
         92.     -0.49750128E+03     -0.33186751E-14     -0.26367800E+04     -0.43129473E-14      0.15238574E-16      0.56515274E+01
         93.     -0.49750128E+03     -0.32593474E-14     -0.26932947E+04     -0.43119538E-14      0.15239608E-16      0.56514039E+01
         94.     -0.49750131E+03     -0.32000024E-14     -0.27498083E+04     -0.43109395E-14      0.15240654E-16      0.56512775E+01
         95.     -0.49750128E+03     -0.31406400E-14     -0.28063208E+04     -0.43099044E-14      0.15241713E-16      0.56511483E+01
         96.     -0.49750128E+03     -0.30812645E-14     -0.28628318E+04     -0.43088443E-14      0.15242884E-16      0.56510167E+01
         97.     -0.49750128E+03     -0.30218485E-14     -0.29193418E+04     -0.43077817E-14      0.15243595E-16      0.56508822E+01
         98.     -0.49750125E+03     -0.29624319E-14     -0.29758501E+04     -0.43066840E-14      0.15244651E-16      0.56507454E+01
         99.     -0.49750125E+03     -0.29029964E-14     -0.30323574E+04     -0.43055650E-14      0.15245718E-16      0.56506057E+01
        100.     -0.49750122E+03     -0.28435423E-14     -0.30888633E+04     -0.43044253E-14      0.15246795E-16      0.56504636E+01
NS ColMember_2.
    ElemID              NF [N]              My [Nmm]            Mz [Nmm]            Vy [N]              Vz [N]              T [N/mm]
        101.     -0.50248798E+03     -0.68590920E-14     -0.39760928E+04      0.22959694E-13      0.15336713E-16     -0.12328821E+02
        102.     -0.50248773E+03     -0.65017525E-14     -0.38528076E+04      0.22961213E-13      0.15338372E-16     -0.12329008E+02
        103.     -0.50248746E+03     -0.61443859E-14     -0.37295208E+04      0.22962636E-13      0.15339969E-16     -0.12329189E+02
        104.     -0.50248721E+03     -0.57869926E-14     -0.36062324E+04      0.22963973E-13      0.15341504E-16     -0.12329359E+02
        105.     -0.50248697E+03     -0.54295735E-14     -0.34829421E+04      0.22965293E-13      0.15342978E-16     -0.12329526E+02
        106.     -0.50248672E+03     -0.50721298E-14     -0.33596506E+04      0.22966614E-13      0.15344389E-16     -0.12329685E+02
        107.     -0.50248651E+03     -0.47146625E-14     -0.32363574E+04      0.22967788E-13      0.15345741E-16     -0.12329839E+02
        108.     -0.50248627E+03     -0.43571726E-14     -0.31130627E+04      0.22968952E-13      0.15347028E-16     -0.12329987E+02
        109.     -0.50248605E+03     -0.39996604E-14     -0.29897666E+04      0.22970155E-13      0.15348255E-16     -0.12330132E+02
        110.     -0.50248584E+03     -0.36421277E-14     -0.28664692E+04      0.22971237E-13      0.15349420E-16     -0.12330270E+02
        111.     -0.50248563E+03     -0.32845750E-14     -0.27431704E+04      0.22972259E-13      0.15350523E-16     -0.12330401E+02
        112.     -0.50248544E+03     -0.29270035E-14     -0.26198704E+04      0.22973255E-13      0.15351566E-16     -0.12330527E+02
        113.     -0.50248526E+03     -0.25694137E-14     -0.24965693E+04      0.22974236E-13      0.15352545E-16     -0.12330647E+02
        114.     -0.50248505E+03     -0.22118069E-14     -0.23732671E+04      0.22975139E-13      0.15353463E-16     -0.12330763E+02
        115.     -0.50248489E+03     -0.18541839E-14     -0.22499636E+04      0.22975960E-13      0.15354320E-16     -0.12330869E+02
        116.     -0.50248471E+03     -0.14965459E-14     -0.21266594E+04      0.22976855E-13      0.15355114E-16     -0.12330972E+02
        117.     -0.50248456E+03     -0.11388934E-14     -0.20033541E+04      0.22977547E-13      0.15355847E-16     -0.12331071E+02
        118.     -0.50248441E+03     -0.78122775E-15     -0.18800479E+04      0.22978288E-13      0.15356519E-16     -0.12331162E+02
        119.     -0.50248425E+03     -0.42354972E-15     -0.17567408E+04      0.22978935E-13      0.15357128E-16     -0.12331244E+02
        120.     -0.50248410E+03     -0.65860292E-16     -0.16334330E+04      0.22979621E-13      0.15357675E-16     -0.12331326E+02
        121.     -0.50248398E+03      0.29183959E-15     -0.15101244E+04      0.22980258E-13      0.15358162E-16     -0.12331398E+02
        122.     -0.50248389E+03      0.64954902E-15     -0.13868151E+04      0.22980710E-13      0.15358585E-16     -0.12331468E+02
        123.     -0.50248376E+03      0.10072670E-14     -0.12635052E+04      0.22981235E-13      0.15358947E-16     -0.12331529E+02
        124.     -0.50248367E+03      0.13649926E-14     -0.11401947E+04      0.22981701E-13      0.15359248E-16     -0.12331585E+02
        125.     -0.50248358E+03      0.17227249E-14     -0.10168838E+04      0.22982032E-13      0.15359487E-16     -0.12331639E+02
        126.     -0.50248352E+03      0.20804628E-14     -0.89357233E+03      0.22982394E-13      0.15359665E-16     -0.12331680E+02
        127.     -0.50248343E+03      0.24382057E-14     -0.77026050E+03      0.22982686E-13      0.15359779E-16     -0.12331718E+02
        128.     -0.50248340E+03      0.27959522E-14     -0.64694830E+03      0.22982952E-13      0.15359834E-16     -0.12331756E+02
        129.     -0.50248334E+03      0.31537019E-14     -0.52363580E+03      0.22983202E-13      0.15359826E-16     -0.12331779E+02
        130.     -0.50248331E+03      0.35114532E-14     -0.40032312E+03      0.22983350E-13      0.15359756E-16     -0.12331800E+02
        131.     -0.50248328E+03      0.38692058E-14     -0.27701022E+03      0.22983467E-13      0.15359624E-16     -0.12331819E+02
        132.     -0.50248325E+03      0.42269583E-14     -0.15369719E+03      0.22983529E-13      0.15359430E-16     -0.12331828E+02
        133.     -0.50248325E+03      0.45847098E-14     -0.30384092E+02      0.22983550E-13      0.15359176E-16     -0.12331833E+02
        134.     -0.50248325E+03      0.49424597E-14      0.92929016E+02      0.22983539E-13      0.15358860E-16     -0.12331833E+02
        135.     -0.50248325E+03      0.53002066E-14      0.21624208E+03      0.22983429E-13      0.15358481E-16     -0.12331824E+02
        136.     -0.50248328E+03      0.56579497E-14      0.33955505E+03      0.22983351E-13      0.15358041E-16     -0.12331813E+02
        137.     -0.50248331E+03      0.60156886E-14      0.46286786E+03      0.22983201E-13      0.15357538E-16     -0.12331792E+02
        138.     -0.50248337E+03      0.63734215E-14      0.58618048E+03      0.22983007E-13      0.15356974E-16     -0.12331770E+02
        139.     -0.50248343E+03      0.67311476E-14      0.70949280E+03      0.22982699E-13      0.15356348E-16     -0.12331738E+02
        140.     -0.50248349E+03      0.70888666E-14      0.83280487E+03      0.22982418E-13      0.15355662E-16     -0.12331701E+02
        141.     -0.50248355E+03      0.74465767E-14      0.95611652E+03      0.22982045E-13      0.15354912E-16     -0.12331657E+02
        142.     -0.50248364E+03      0.78042778E-14      0.10794277E+04      0.22981664E-13      0.15354102E-16     -0.12331614E+02
        143.     -0.50248373E+03      0.81619680E-14      0.12027385E+04      0.22981227E-13      0.15353228E-16     -0.12331557E+02
        144.     -0.50248383E+03      0.85196480E-14      0.13260487E+04      0.22980741E-13      0.15352293E-16     -0.12331500E+02
        145.     -0.50248395E+03      0.88773144E-14      0.14493583E+04      0.22980185E-13      0.15351298E-16     -0.12331432E+02
        146.     -0.50248407E+03      0.92349681E-14      0.15726672E+04      0.22979648E-13      0.15350240E-16     -0.12331366E+02
        147.     -0.50248419E+03      0.95926083E-14      0.16959755E+04      0.22978937E-13      0.15349120E-16     -0.12331286E+02
        148.     -0.50248434E+03      0.99502324E-14      0.18192830E+04      0.22978274E-13      0.15347939E-16     -0.12331203E+02
        149.     -0.50248450E+03      0.10307841E-13      0.19425896E+04      0.22977581E-13      0.15346697E-16     -0.12331116E+02
        150.     -0.50248465E+03      0.10665432E-13      0.20658953E+04      0.22976872E-13      0.15345392E-16     -0.12331023E+02
        151.     -0.50248480E+03      0.11023006E-13      0.21892002E+04      0.22976053E-13      0.15344025E-16     -0.12330925E+02
        152.     -0.50248499E+03      0.11380561E-13      0.23125042E+04      0.22975113E-13      0.15342597E-16     -0.12330815E+02
        153.     -0.50248517E+03      0.11738096E-13      0.24358069E+04      0.22974214E-13      0.15341107E-16     -0.12330705E+02
        154.     -0.50248535E+03      0.12095610E-13      0.25591086E+04      0.22973314E-13      0.15339555E-16     -0.12330589E+02
        155.     -0.50248557E+03      0.12453102E-13      0.26824092E+04      0.22972289E-13      0.15337940E-16     -0.12330468E+02
        156.     -0.50248575E+03      0.12810572E-13      0.28057085E+04      0.22971222E-13      0.15336266E-16     -0.12330340E+02
        157.     -0.50248596E+03      0.13168018E-13      0.29290066E+04      0.22970085E-13      0.15334529E-16     -0.12330202E+02
        158.     -0.50248621E+03      0.13525440E-13      0.30523035E+04      0.22968953E-13      0.15332731E-16     -0.12330063E+02
        159.     -0.50248642E+03      0.13882836E-13      0.31755989E+04      0.22967757E-13      0.15330870E-16     -0.12329915E+02
        160.     -0.50248666E+03      0.14240206E-13      0.32988928E+04      0.22966563E-13      0.15328947E-16     -0.12329766E+02
        161.     -0.50248688E+03      0.14597547E-13      0.34221853E+04      0.22965264E-13      0.15326964E-16     -0.12329608E+02
        162.     -0.50248712E+03      0.14954861E-13      0.35454763E+04      0.22963920E-13      0.15324917E-16     -0.12329445E+02
        163.     -0.50248737E+03      0.15312147E-13      0.36687656E+04      0.22962543E-13      0.15322811E-16     -0.12329275E+02
        164.     -0.50248761E+03      0.15669400E-13      0.37920535E+04      0.22961068E-13      0.15320641E-16     -0.12329101E+02
        165.     -0.50248788E+03      0.16026624E-13      0.39153394E+04      0.22959623E-13      0.15318411E-16     -0.12328921E+02
        166.     -0.50248813E+03      0.16383814E-13      0.40386235E+04      0.22958111E-13      0.15316118E-16     -0.12328732E+02
        167.     -0.50248840E+03      0.16740973E-13      0.41619062E+04      0.22956577E-13      0.15313763E-16     -0.12328541E+02
        168.     -0.50248865E+03      0.17098097E-13      0.42851865E+04      0.22954998E-13      0.15311348E-16     -0.12328344E+02
        169.     -0.50248892E+03      0.17455186E-13      0.44084653E+04      0.22953246E-13      0.15308870E-16     -0.12328138E+02
        170.     -0.50248920E+03      0.17812239E-13      0.45317417E+04      0.22951564E-13      0.15306330E-16     -0.12327929E+02
        171.     -0.50248947E+03      0.18169255E-13      0.46550166E+04      0.22949816E-13      0.15303730E-16     -0.12327713E+02
        172.     -0.50248972E+03      0.18526233E-13      0.47782891E+04      0.22948057E-13      0.15301066E-16     -0.12327493E+02
        173.     -0.50248999E+03      0.18883173E-13      0.49015591E+04      0.22946160E-13      0.15298341E-16     -0.12327262E+02
        174.     -0.50249026E+03      0.19240072E-13      0.50248271E+04      0.22944284E-13      0.15295556E-16     -0.12327033E+02
        175.     -0.50249054E+03      0.19596932E-13      0.51480933E+04      0.22942321E-13      0.15292708E-16     -0.12326796E+02
        176.     -0.50249081E+03      0.19953750E-13      0.52713569E+04      0.22940329E-13      0.15289798E-16     -0.12326548E+02
        177.     -0.50249109E+03      0.20310524E-13      0.53946177E+04      0.22938291E-13      0.15286827E-16     -0.12326300E+02
        178.     -0.50249133E+03      0.20667257E-13      0.55178765E+04      0.22936287E-13      0.15283795E-16     -0.12326045E+02
        179.     -0.50249161E+03      0.21023944E-13      0.56411328E+04      0.22934039E-13      0.15280699E-16     -0.12325784E+02
        180.     -0.50249188E+03      0.21380585E-13      0.57643867E+04      0.22931896E-13      0.15277543E-16     -0.12325516E+02
        181.     -0.50249213E+03      0.21737181E-13      0.58876377E+04      0.22929626E-13      0.15274325E-16     -0.12325242E+02
        182.     -0.50249237E+03      0.22093730E-13      0.60108862E+04      0.22927379E-13      0.15271046E-16     -0.12324963E+02
        183.     -0.50249261E+03      0.22450229E-13      0.61341318E+04      0.22925067E-13      0.15267704E-16     -0.12324678E+02
        184.     -0.50249286E+03      0.22806681E-13      0.62573750E+04      0.22922707E-13      0.15264301E-16     -0.12324389E+02
        185.     -0.50249310E+03      0.23163082E-13      0.63806152E+04      0.22920291E-13      0.15260837E-16     -0.12324092E+02
        186.     -0.50249332E+03      0.23519430E-13      0.65038525E+04      0.22917820E-13      0.15257310E-16     -0.12323791E+02
        187.     -0.50249353E+03      0.23875729E-13      0.66270869E+04      0.22915284E-13      0.15253512E-16     -0.12323483E+02
        188.     -0.50249374E+03      0.24231974E-13      0.67503184E+04      0.22912744E-13      0.15249890E-16     -0.12323169E+02
        189.     -0.50249396E+03      0.24588165E-13      0.68735464E+04      0.22910134E-13      0.15246204E-16     -0.12322846E+02
        190.     -0.50249414E+03      0.24944300E-13      0.69967715E+04      0.22907437E-13      0.15242455E-16     -0.12322525E+02
        191.     -0.50249432E+03      0.25300381E-13      0.71199937E+04      0.22904777E-13      0.15238642E-16     -0.12322192E+02
        192.     -0.50249448E+03      0.25656404E-13      0.72432129E+04      0.22902033E-13      0.15234766E-16     -0.12321855E+02
        193.     -0.50249463E+03      0.26012370E-13      0.73664282E+04      0.22899229E-13      0.15230827E-16     -0.12321512E+02
        194.     -0.50249478E+03      0.26368278E-13      0.74896406E+04      0.22896429E-13      0.15226823E-16     -0.12321166E+02
        195.     -0.50249490E+03      0.26724127E-13      0.76128496E+04      0.22893518E-13      0.15222757E-16     -0.12320811E+02
        196.     -0.50249503E+03      0.27079913E-13      0.77360552E+04      0.22890593E-13      0.15218626E-16     -0.12320450E+02
        197.     -0.50249512E+03      0.27435639E-13      0.78592568E+04      0.22887554E-13      0.15214432E-16     -0.12320086E+02
        198.     -0.50249521E+03      0.27791303E-13      0.79824556E+04      0.22884574E-13      0.15210162E-16     -0.12319714E+02
        199.     -0.50249527E+03      0.28146903E-13      0.81056504E+04      0.22881433E-13      0.15205879E-16     -0.12319337E+02
        200.     -0.50249533E+03      0.28502438E-13      0.82288418E+04      0.22878265E-13      0.15201472E-16     -0.12318954E+02
NS BraceMember_1.
    ElemID              NF [N]              My [Nmm]            Mz [Nmm]            Vy [N]              Vz [N]              T [N/mm]
        201.      0.96362744E+03      0.30138915E-14      0.16443253E+03     -0.58459308E-15     -0.54493087E-17      0.44437069E+00
        202.      0.96362744E+03      0.29674133E-14      0.15999236E+03     -0.58796469E-15     -0.54383242E-17      0.44387469E+00
        203.      0.96362744E+03      0.29210253E-14      0.15555690E+03     -0.59125504E-15     -0.54274455E-17      0.44339183E+00
        204.      0.96362744E+03      0.28747250E-14      0.15112599E+03     -0.59443428E-15     -0.54168166E-17      0.44292292E+00
        205.      0.96362738E+03      0.28285138E-14      0.14669954E+03     -0.59754066E-15     -0.54062031E-17      0.44246718E+00
        206.      0.96362738E+03      0.27823906E-14      0.14227739E+03     -0.60054223E-15     -0.53957231E-17      0.44202533E+00
        207.      0.96362738E+03      0.27363543E-14      0.13785942E+03     -0.60344972E-15     -0.53853759E-17      0.44159585E+00
        208.      0.96362738E+03      0.26904043E-14      0.13344551E+03     -0.60628231E-15     -0.53751615E-17      0.44118115E+00
        209.      0.96362738E+03      0.26445400E-14      0.12903552E+03     -0.60900367E-15     -0.53650794E-17      0.44077957E+00
        210.      0.96362744E+03      0.25987608E-14      0.12462931E+03     -0.61163084E-15     -0.53551288E-17      0.44039232E+00
        211.      0.96362744E+03      0.25530657E-14      0.12022678E+03     -0.61418396E-15     -0.53452907E-17      0.44001710E+00
        212.      0.96362744E+03      0.25074555E-14      0.11582777E+03     -0.61663337E-15     -0.53356739E-17      0.43965608E+00
        213.      0.96362744E+03      0.24619275E-14      0.11143217E+03     -0.61898362E-15     -0.53261213E-17      0.43930835E+00
        214.      0.96362744E+03      0.24164819E-14      0.10703985E+03     -0.62125504E-15     -0.53166972E-17      0.43897328E+00
        215.      0.96362744E+03      0.23711182E-14      0.10265067E+03     -0.62344505E-15     -0.53074009E-17      0.43865305E+00
        216.      0.96362744E+03      0.23258356E-14      0.98264519E+02     -0.62552203E-15     -0.52982324E-17      0.43834496E+00
        217.      0.96362744E+03      0.22806335E-14      0.93881256E+02     -0.62752346E-15     -0.52891914E-17      0.43805167E+00
        218.      0.96362744E+03      0.22355114E-14      0.89500748E+02     -0.62943156E-15     -0.52802772E-17      0.43777004E+00
        219.      0.96362750E+03      0.21904685E-14      0.85122879E+02     -0.63124733E-15     -0.52714901E-17      0.43750301E+00
        220.      0.96362750E+03      0.21455042E-14      0.80747505E+02     -0.63296295E-15     -0.52628291E-17      0.43724918E+00
        221.      0.96362750E+03      0.21006180E-14      0.76374512E+02     -0.63459301E-15     -0.52542943E-17      0.43700862E+00
        222.      0.96362750E+03      0.20558091E-14      0.72003769E+02     -0.63613863E-15     -0.52458856E-17      0.43678153E+00
        223.      0.96362750E+03      0.20110769E-14      0.67635139E+02     -0.63757901E-15     -0.52376022E-17      0.43656760E+00
        224.      0.96362750E+03      0.19664209E-14      0.63268501E+02     -0.63895120E-15     -0.52294441E-17      0.43636772E+00
