NS ColMember_1.
    ElemID              NF [N]              My [Nmm]            Mz [Nmm]            Vy [N]              Vz [N]              T [N/mm]
         76.     -0.25307073E+04      0.30678318E+02     -0.98683525E+04     -0.24003204E+03     -0.24371047E+01     -0.14359006E+02
         77.     -0.25307041E+04      0.63204136E+01     -0.97248535E+04     -0.24003192E+03     -0.24371252E+01     -0.14361331E+02
         78.     -0.25307009E+04     -0.18037512E+02     -0.95813311E+04     -0.24003178E+03     -0.24371400E+01     -0.14363622E+02
         79.     -0.25306975E+04     -0.42395401E+02     -0.94377881E+04     -0.24003166E+03     -0.24371490E+01     -0.14365879E+02
         80.     -0.25306943E+04     -0.66753197E+02     -0.92942227E+04     -0.24003152E+03     -0.24371524E+01     -0.14368102E+02
         81.     -0.25306912E+04     -0.91110847E+02     -0.91506367E+04     -0.24003139E+03     -0.24371500E+01     -0.14370291E+02
         82.     -0.25306882E+04     -0.11546830E+03     -0.90070293E+04     -0.24003125E+03     -0.24371417E+01     -0.14372446E+02
         83.     -0.25306851E+04     -0.13982547E+03     -0.88634014E+04     -0.24003111E+03     -0.24371278E+01     -0.14374566E+02
         84.     -0.25306819E+04     -0.16418233E+03     -0.87197529E+04     -0.24003098E+03     -0.24371080E+01     -0.14376653E+02
         85.     -0.25306790E+04     -0.18853882E+03     -0.85760850E+04     -0.24003084E+03     -0.24370825E+01     -0.14378705E+02
         86.     -0.25306758E+04     -0.21289488E+03     -0.84323975E+04     -0.24003070E+03     -0.24370513E+01     -0.14380724E+02
         87.     -0.25306729E+04     -0.23725046E+03     -0.82886904E+04     -0.24003056E+03     -0.24370141E+01     -0.14382708E+02
         88.     -0.25306699E+04     -0.26160550E+03     -0.81449648E+04     -0.24003041E+03     -0.24369712E+01     -0.14384658E+02
         89.     -0.25306670E+04     -0.28595996E+03     -0.80012202E+04     -0.24003026E+03     -0.24369226E+01     -0.14386574E+02
         90.     -0.25306641E+04     -0.31031375E+03     -0.78574575E+04     -0.24003012E+03     -0.24368682E+01     -0.14388456E+02
         91.     -0.25306611E+04     -0.33466684E+03     -0.77136772E+04     -0.24002997E+03     -0.24368081E+01     -0.14390304E+02
         92.     -0.25306584E+04     -0.35901917E+03     -0.75698789E+04     -0.24002982E+03     -0.24367421E+01     -0.14392118E+02
         93.     -0.25306555E+04     -0.38337067E+03     -0.74260635E+04     -0.24002966E+03     -0.24366703E+01     -0.14393897E+02
         94.     -0.25306528E+04     -0.40772131E+03     -0.72822310E+04     -0.24002951E+03     -0.24365926E+01     -0.14395642E+02
         95.     -0.25306501E+04     -0.43207098E+03     -0.71383818E+04     -0.24002934E+03     -0.24365091E+01     -0.14397353E+02
         96.     -0.25306475E+04     -0.45641971E+03     -0.69945161E+04     -0.24002919E+03     -0.24364200E+01     -0.14399031E+02
         97.     -0.25306448E+04     -0.48076736E+03     -0.68506348E+04     -0.24002904E+03     -0.24363248E+01     -0.14400674E+02
         98.     -0.25306421E+04     -0.50511392E+03     -0.67067378E+04     -0.24002887E+03     -0.24362240E+01     -0.14402283E+02
         99.     -0.25306396E+04     -0.52945935E+03     -0.65628257E+04     -0.24002870E+03     -0.24361174E+01     -0.14403857E+02
        100.     -0.25306372E+04     -0.55380353E+03     -0.64188984E+04     -0.24002855E+03     -0.24360049E+01     -0.14405398E+02
        101.     -0.25306348E+04     -0.57814648E+03     -0.62749565E+04     -0.24002838E+03     -0.24358866E+01     -0.14406905E+02
        102.     -0.25306323E+04     -0.60248804E+03     -0.61310000E+04     -0.24002821E+03     -0.24357624E+01     -0.14408377E+02
        103.     -0.25306299E+04     -0.62682825E+03     -0.59870298E+04     -0.24002805E+03     -0.24356325E+01     -0.14409816E+02
        104.     -0.25306277E+04     -0.65116705E+03     -0.58430459E+04     -0.24002786E+03     -0.24354966E+01     -0.14411220E+02
        105.     -0.25306252E+04     -0.67550433E+03     -0.56990483E+04     -0.24002769E+03     -0.24353549E+01     -0.14412589E+02
        106.     -0.25306230E+04     -0.69984009E+03     -0.55550381E+04     -0.24002753E+03     -0.24352074E+01     -0.14413925E+02
        107.     -0.25306208E+04     -0.72417419E+03     -0.54110151E+04     -0.24002734E+03     -0.24350541E+01     -0.14415227E+02
        108.     -0.25306187E+04     -0.74850665E+03     -0.52669795E+04     -0.24002716E+03     -0.24348948E+01     -0.14416494E+02
        109.     -0.25306167E+04     -0.77283746E+03     -0.51229321E+04     -0.24002699E+03     -0.24347296E+01     -0.14417727E+02
        110.     -0.25306147E+04     -0.79716644E+03     -0.49788730E+04     -0.24002681E+03     -0.24345586E+01     -0.14418927E+02
        111.     -0.25306128E+04     -0.82149359E+03     -0.48348027E+04     -0.24002663E+03     -0.24343820E+01     -0.14420092E+02
        112.     -0.25306108E+04     -0.84581885E+03     -0.46907212E+04     -0.24002644E+03     -0.24341993E+01     -0.14421223E+02
        113.     -0.25306089E+04     -0.87014215E+03     -0.45466289E+04     -0.24002625E+03     -0.24340107E+01     -0.14422319E+02
        114.     -0.25306072E+04     -0.89446350E+03     -0.44025264E+04     -0.24002606E+03     -0.24338164E+01     -0.14423383E+02
        115.     -0.25306052E+04     -0.91878278E+03     -0.42584136E+04     -0.24002588E+03     -0.24336162E+01     -0.14424411E+02
        116.     -0.25306035E+04     -0.94309991E+03     -0.41142915E+04     -0.24002568E+03     -0.24334099E+01     -0.14425406E+02
        117.     -0.25306021E+04     -0.96741492E+03     -0.39701594E+04     -0.24002550E+03     -0.24331980E+01     -0.14426365E+02
        118.     -0.25306003E+04     -0.99172772E+03     -0.38260188E+04     -0.24002530E+03     -0.24329801E+01     -0.14427291E+02
        119.     -0.25305989E+04     -0.10160382E+04     -0.36818691E+04     -0.24002510E+03     -0.24327562E+01     -0.14428183E+02
        120.     -0.25305974E+04     -0.10403464E+04     -0.35377112E+04     -0.24002490E+03     -0.24325264E+01     -0.14429041E+02
        121.     -0.25305959E+04     -0.10646521E+04     -0.33935449E+04     -0.24002470E+03     -0.24322908E+01     -0.14429864E+02
        122.     -0.25305945E+04     -0.10889554E+04     -0.32493711E+04     -0.24002451E+03     -0.24320493E+01     -0.14430654E+02
        123.     -0.25305933E+04     -0.11132563E+04     -0.31051899E+04     -0.24002431E+03     -0.24318020E+01     -0.14431409E+02
        124.     -0.25305920E+04     -0.11375546E+04     -0.29610015E+04     -0.24002409E+03     -0.24315486E+01     -0.14432130E+02
        125.     -0.25305908E+04     -0.11618502E+04     -0.28168064E+04     -0.24002390E+03     -0.24312894E+01     -0.14432817E+02
        126.     -0.25305896E+04     -0.11861432E+04     -0.26726050E+04     -0.24002368E+03     -0.24310243E+01     -0.14433469E+02
        127.     -0.25305886E+04     -0.12104335E+04     -0.25283972E+04     -0.24002348E+03     -0.24307532E+01     -0.14434088E+02
