t	F	F_Cor	x						
394,00	5110	51100	0,199117300						
395,00	5100	51000	0,198529100						
396,00	5100	51000	0,198117700						
397,00	5090	50900	0,197844300						
398,00	5090	50900	0,197765900						
399,00	5080	50800	0,197491000						
400,00	5100	51000	0,201329300						
401,00	5140	51400	0,203480400						
402,00	5170	51700	0,204171000						
403,00	5170	51700	0,204773900						
404,00	5160	51600	0,204967200						
405,00	5150	51500	0,205527300						
406,00	5150	51500	0,206146200						
407,00	5140	51400	0,206101900						
408,00	5130	51300	0,206158200						
409,00	5130	51300	0,206248900						
410,00	5130	51300	0,206296800						
411,00	5120	51200	0,206453900						
412,00	5120	51200	0,206591700						
413,00	5120	51200	0,206616600						
414,00	5120	51200	0,206566400						
415,00	5110	51100	0,206630900						
416,00	5110	51100	0,206814300						
417,00	5110	51100	0,206207700						
418,00	5110	51100	0,206910300						
419,00	5130	51300	0,208418800						
420,00	5140	51400	0,209114600						
421,00	5180	51800	0,211625000						
422,00	5220	52200	0,210287700						
423,00	5220	52200	0,209513600						
424,00	5210	52100	0,209288800						
425,00	5210	52100	0,208707200						
426,00	5200	52000	0,208699400						
427,00	5190	51900	0,208992500						
428,00	5230	52300	0,213320000						
429,00	5260	52600	0,216523300						
430,00	5280	52800	0,217271400						
431,00	5270	52700	0,217126200						
432,00	5260	52600	0,217209300						
433,00	5250	52500	0,217387700						
434,00	5250	52500	0,217464600						
435,00	5240	52400	0,217688000						
436,00	5230	52300	0,218332200						
437,00	5230	52300	0,217764300						
438,00	5220	52200	0,217334100						
439,00	5220	52200	0,217234400						
440,00	5220	52200	0,218312100						
441,00	5240	52400	0,222525100						
442,00	5280	52800	0,224746000						
443,00	5310	53100	0,226020900						
444,00	5300	53000	0,226701100						
445,00	5300	53000	0,226694800						
446,00	5290	52900	0,226492300						
447,00	5280	52800	0,229455000						
448,00	5330	53300	0,231760400						
449,00	5360	53600	0,230756700						
450,00	5360	53600	0,230002900						
451,00	5340	53400	0,229565500						
452,00	5330	53300	0,229320000						
453,00	5320	53200	0,228869000						
454,00	5320	53200	0,228697400						
455,00	5310	53100	0,229336600						
456,00	5370	53700	0,236392800						
457,00	5400	54000	0,236429600						
458,00	5390	53900	0,237802600						
459,00	5380	53800	0,237551200						
460,00	5370	53700	0,237309500						
461,00	5360	53600	0,237620300						
462,00	5360	53600	0,237674600						
463,00	5350	53500	0,237772600						
464,00	5340	53400	0,237858800						
465,00	5340	53400	0,238591400						
466,00	5340	53400	0,241527800						
467,00	5380	53800	0,244072300						
468,00	5430	54300	0,245424100						
469,00	5420	54200	0,245977900						
470,00	5410	54100	0,246450600						
471,00	5400	54000	0,246896400						
472,00	5400	54000	0,247642100						
473,00	5390	53900	0,248701600						
474,00	5420	54200	0,249416100						
475,00	5460	54600	0,256517900						
476,00	5480	54800	0,257425500						
477,00	5460	54600	0,257712400						
478,00	5450	54500	0,258023800						
479,00	5440	54400	0,258159100						
480,00	5430	54300	0,258098300						
481,00	5420	54200	0,258251200						
482,00	5410	54100	0,258446600						
483,00	5410	54100	0,258633700						
484,00	5400	54000	0,258165000						
485,00	5400	54000	0,258210700						
486,00	5400	54000	0,258561300						
487,00	5390	53900	0,257650900						
488,00	5390	53900	0,258406500						
489,00	5390	53900	0,258927700						
490,00	5390	53900	0,258691100						
491,00	5380	53800	0,258844800						
492,00	5380	53800	0,258886800						
